53  31
64  30.8
73  29.8
84  30.5
92  30
101  28.8
105  31.6
108  34
112  32.1
120  29.3
124  32.9
127  31.4
136  28.9
143  28.4
151  28
158  26.1
168  25.5
181  25
193  24.8
204  24.8
210  27.3
217  26.3
226  26.4
237  27.1
253  28.3
261  30.4
262  27.4
280  29.2
293  29.9
297  34
304  30.7
312  32.4
319  30.6
329  28.5
337  31.1
349  27.4
356  32.4
364  30
373  31.2
385  29.4
393  29.2
401  30.5
408  30.1
423  28.6
434  30
441  34.5
451  30
463  29.7
471  27.8
474  32.2
478  31
483  30
492  28.9
503  28.9
512  29.3
524  29
533  27.8
531  26.7
548  29.4
564  27.8
578  27.6
588  28
599  28.9
609  27.6
620  30.1
626  30.1
639  28.3
647  31.1
658  30.5
666  31.7
675  31.7
685  31.6
701  31.1
711  30.6
719  31.5
725  31.3
735  29.9
748  27.8
755  30.4
766  29.4
772  32.6
781  30.6
786  33.1
796  32.5
802  32.8
812  31.1
822  31.9
844  29.7
856  30.2
866  30.2
875  30.6
888  29.4
898  30.9
908  27.8
926  27.3
954  27.3
967  29.6
993  29.8
1003  30.6
1012  31.3
1024  31.7
1037  30.9
1046  33.4
1056  31.7
1066  31.5
1074  33.2
1076  30.4
1077  40
1081  31.4
1088  31.1
1096  32
1112  29.1
1123  29.2
1134  28.9
1141  32.8
1152  30.7
1160  32.8
1168  31
1181  31.8
1193  31.7
1197  33.3
1204  31.4
1212  31.6
1226  32.1
1236  29.6
1246  30.9
1258  29
1264  31
1273  28.2
1282  29.3
1301  28.8
1313  28.9
1322  30.1
1332  30.2
1350  29.4
1360  32
1367  32.2
1380  31
1388  33.8
1390  33.9
1399  31.5
1412  32.5
1424  30.8
1441  31.1
1449  34
1455  30.1
1467  30.3
1485  30
1499  30.6
1512  31.4
1519  33
1537  30
1547  31.2
1560  30.4
1569  30.6
1585  30.9
1598  30.2
1611  29.1
1622  29.8
1631  30.5
1642  30.8
1666  28.3
1676  29.9
1694  27.2
1704  30.1
1716  30.2
1730  29.5
1741  30.9
1750  31.7
1759  30.5
1769  32.3
1778  31.9
1793  30
1804  30.6
1819  32.1
1834  30.7
1848  27.3
