TITLE;
DATA TYPE;
ORIGIN;JASCO
OWNER;
DATE;20/09/15
TIME;14:29:11
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;CD [mdeg]
Y2UNITS;HT [V]
Y3UNITS;ABSORBANCE
FIRSTX;  330,0000
LASTX;  200,0000
NPOINTS;     131
FIRSTY;     0,02561
MAXY;     3,01592
MINY;    -2,54661
XYDATA
330,0000;0,0256093;197,106;0,000239335
329,0000;0,0419078;197,229;0,000216378
328,0000;0,0216441;197,356;0,000259785
327,0000;0,0121165;197,473;0,000323313
326,0000;-0,0355576;197,569;0,000369821
325,0000;-0,036056;197,63;0,000367117
324,0000;-0,0105174;197,657;0,000334726
323,0000;0,01875;197,688;0,000345611
322,0000;0,0180628;197,774;0,000393504
321,0000;0,00308482;197,938;0,000537646
320,0000;0,0405121;198,146;0,000571554
319,0000;0,0537262;198,341;0,000560471
318,0000;0,0537013;198,508;0,000566474
317,0000;-0,00699412;198,646;0,000652432
316,0000;-0,0258886;198,763;0,00067684
315,0000;-0,00958201;198,862;0,000706922
314,0000;0,024883;198,94;0,000727834
313,0000;0,0293015;199,04;0,000851592
312,0000;0,0155558;199,196;0,00096044
311,0000;0,0114639;199,429;0,00116
310,0000;0,0304296;199,699;0,00127861
309,0000;0,0464183;199,971;0,00142295
308,0000;0,052594;200,239;0,00175998
307,0000;0,0524292;200,502;0,0022405
306,0000;0,0319733;200,787;0,00291107
305,0000;0,0696665;201,089;0,00365408
304,0000;0,0784887;201,404;0,00443053
303,0000;0,0871867;201,747;0,00553551
302,0000;0,103584;202,127;0,00705339
301,0000;0,114899;202,546;0,00903067
300,0000;0,186227;203,013;0,0114883
299,0000;0,238242;203,543;0,0146531
298,0000;0,309958;204,145;0,0186574
297,0000;0,331648;204,823;0,0234605
296,0000;0,382793;205,565;0,0291494
295,0000;0,44659;206,395;0,0357872
294,0000;0,609832;207,28;0,0435573
293,0000;0,754536;208,218;0,0525552
292,0000;0,929623;209,217;0,0626971
291,0000;1,12323;210,347;0,0739659
290,0000;1,28849;211,677;0,0863275
289,0000;1,41302;213,205;0,099818
288,0000;1,53205;214,837;0,114266
287,0000;1,66738;216,495;0,129471
286,0000;1,82165;218,158;0,145142
285,0000;1,98405;219,844;0,161248
284,0000;2,07021;221,566;0,17776
283,0000;2,1821;223,317;0,194758
282,0000;2,31881;225,077;0,211797
281,0000;2,4985;226,844;0,228942
280,0000;2,6664;228,629;0,246204
279,0000;2,77165;230,434;0,263446
278,0000;2,84555;232,254;0,280461
277,0000;2,91839;234,078;0,297307
276,0000;2,97964;235,871;0,313629
275,0000;3,01592;237,644;0,329607
274,0000;2,97231;239,38;0,345182
273,0000;2,89268;241,108;0,360479
272,0000;2,83514;242,829;0,375294
271,0000;2,76812;244,572;0,389542
270,0000;2,65892;246,328;0,403002
269,0000;2,47978;248,087;0,415685
268,0000;2,24321;249,83;0,427558
267,0000;2,05224;251,546;0,43857
266,0000;1,81795;253,234;0,448643
265,0000;1,55463;254,892;0,457851
264,0000;1,2516;256,514;0,466056
263,0000;0,961333;258,081;0,473274
262,0000;0,689642;259,59;0,479507
261,0000;0,319233;261,039;0,484535
